Training Data Percentage,Train Time,Test Time
0.1,0.0151240825653,0.0948839187622
0.15,0.0289678573608,0.112975120544
0.2,0.0387110710144,0.13312292099
0.25,0.0615179538727,0.141027927399
0.3,0.0811409950256,0.132997989655
0.35,0.0756359100342,0.150943040848
0.4,0.109117031097,0.159008026123
0.45,0.128514051437,0.168482065201
0.5,0.172657012939,0.129909992218
0.55,0.158931970596,0.136676073074
0.6,0.187628984451,0.129028081894
0.65,0.400053024292,0.128355026245
0.7,0.242516040802,0.0946249961853
0.75,0.228482961655,0.0825629234314
0.8,0.250503063202,0.0695760250092
0.85,0.268187046051,0.053573846817
0.9,0.289652109146,0.0374879837036
0.95,0.312791109085,0.0195159912109
