Training Data Percentage,Train Time,Test Time
0.1,0.146539926529,1.14971208572
0.15,0.257041215897,1.3621339798
0.2,0.404798984528,1.55826687813
0.25,0.561106920242,1.63629698753
0.3,0.739021778107,1.75149703026
0.35,0.952836036682,1.77937197685
0.4,1.18507385254,1.81991314888
0.45,1.43920087814,1.75785708427
0.5,1.70708799362,1.67885613441
0.55,1.94375801086,1.68667578697
0.6,2.28784298897,1.6065518856
0.65,2.59192013741,1.43024992943
0.7,2.96107196808,1.29222512245
0.75,3.32881999016,1.12761998177
0.8,3.59949612617,0.927766084671
0.85,3.9856979847,0.728904008865
0.9,4.29386401176,0.498417854309
0.95,4.72203207016,0.26607298851
