Training Data Percentage,Train Time,Test Time
0.1,0.00508904457092,0.0239460468292
0.15,0.00981593132019,0.0323581695557
0.2,0.0192890167236,0.0874660015106
0.25,0.0263080596924,0.0485408306122
0.3,0.0344960689545,0.0507109165192
0.35,0.0486838817596,0.0610530376434
0.4,0.063364982605,0.0588591098785
0.45,0.0786838531494,0.0588700771332
0.5,0.0934119224548,0.0585072040558
0.55,0.113304853439,0.0568990707397
0.6,0.135938882828,0.0566439628601
0.65,0.163239955902,0.0570859909058
0.7,0.192904949188,0.0485711097717
0.75,0.214659929276,0.0427479743958
0.8,0.248257160187,0.0363988876343
0.85,0.280294895172,0.0296900272369
0.9,0.320145845413,0.0205311775208
0.95,0.361143112183,0.0121970176697
