Training Data Percentage,Train Time,Test Time
0.1,0.00139117240906,0.00254392623901
0.15,0.00193190574646,0.00317907333374
0.2,0.00323605537415,0.00643801689148
0.25,0.0042769908905,0.00434494018555
0.3,0.00569009780884,0.00495290756226
0.35,0.00747609138489,0.00510787963867
0.4,0.0143549442291,0.00986003875732
0.45,0.0193428993225,0.00548911094666
0.5,0.0145590305328,0.00564503669739
0.55,0.0194630622864,0.00546407699585
0.6,0.0222680568695,0.00531792640686
0.65,0.0303008556366,0.00496315956116
0.7,0.0271310806274,0.00452995300293
0.75,0.0318579673767,0.00512003898621
0.8,0.0387229919434,0.00364303588867
0.85,0.0446219444275,0.00286197662354
0.9,0.0424928665161,0.00336503982544
0.95,0.0494449138641,0.00177717208862
