Training Data Percentage,Train Time,Test Time
0.1,0.068489074707,0.449882030487
0.15,0.124260902405,0.523183107376
0.2,0.164928913116,0.57491517067
0.25,0.220876932144,0.602407932281
0.3,0.289494991302,0.622915029526
0.35,0.353874206543,0.626627922058
0.4,0.443436145782,0.646692991257
0.45,0.511290073395,0.603197097778
0.5,0.605737924576,0.596506118774
0.55,0.703536987305,0.563107013702
0.6,0.804020166397,0.524137020111
0.65,0.892875909805,0.483010053635
0.7,0.991132974625,0.441227912903
0.75,1.07711386681,0.367660999298
0.8,1.17135906219,0.295222997665
0.85,1.30518293381,0.231199979782
0.9,1.43945407867,0.162652015686
0.95,1.58202600479,0.0856039524078
