Training Data Percentage,Train Time,Test Time
0.1,0.00164794921875,0.000437021255493
0.15,0.00205278396606,0.000412225723267
0.2,0.00242114067078,0.00040602684021
0.25,0.00289011001587,0.000383853912354
0.3,0.00312805175781,0.000359058380127
0.35,0.00364398956299,0.000375986099243
0.4,0.00423002243042,0.000341176986694
0.45,0.00468993186951,0.000317096710205
0.5,0.00505208969116,0.000296831130981
0.55,0.00483393669128,0.000297069549561
0.6,0.0059061050415,0.000267028808594
0.65,0.0057520866394,0.000247001647949
0.7,0.00618290901184,0.000220060348511
0.75,0.00692915916443,0.000221014022827
0.8,0.00676894187927,0.00018310546875
0.85,0.00760698318481,0.000164031982422
0.9,0.00762701034546,0.000146865844727
0.95,0.00784301757812,0.000144004821777
