Training Data Percentage,Train Time,Test Time
0.1,0.017942905426,0.0185348987579
0.15,0.029107093811,0.0167098045349
0.2,0.039696931839,0.0156960487366
0.25,0.0490741729736,0.0150368213654
0.3,0.0573568344116,0.0141639709473
0.35,0.0679919719696,0.0137760639191
0.4,0.0796551704407,0.0124230384827
0.45,0.0903260707855,0.0108151435852
0.5,0.0984101295471,0.00962805747986
0.55,0.111359834671,0.00922107696533
0.6,0.118510007858,0.00824999809265
0.65,0.133333921432,0.00719094276428
0.7,0.143452167511,0.00546479225159
0.75,0.148581981659,0.00474905967712
0.8,0.163901090622,0.00367403030396
0.85,0.164562940598,0.00270485877991
0.9,0.183524131775,0.00288796424866
0.95,0.191121101379,0.00318694114685
