Training Data Percentage,Train Time,Test Time
0.1,0.00108790397644,0.000214099884033
0.15,0.00121212005615,0.000298976898193
0.2,0.000880002975464,0.00020694732666
0.25,0.000895977020264,0.000198841094971
0.3,0.00155591964722,0.000288963317871
0.35,0.00155401229858,0.000235080718994
0.4,0.00123000144958,0.000195026397705
0.45,0.00141191482544,0.000226974487305
0.5,0.00123596191406,0.000179052352905
0.55,0.00178098678589,0.000243902206421
0.6,0.00201201438904,0.000236988067627
0.65,0.00207901000977,0.000257968902588
0.7,0.00186586380005,0.000224113464355
0.75,0.00218200683594,0.000226020812988
0.8,0.00217604637146,0.000207185745239
0.85,0.00234985351562,0.000190019607544
0.9,0.00274991989136,0.000190019607544
0.95,0.00246596336365,0.000173091888428
