Training Data Percentage,Train Time,Test Time
0.1,0.00391221046448,0.00217700004578
0.15,0.00610685348511,0.00235104560852
0.2,0.00853300094604,0.00204610824585
0.25,0.0107879638672,0.0019359588623
0.3,0.0126841068268,0.00198197364807
0.35,0.0147349834442,0.00197601318359
0.4,0.0155301094055,0.00180506706238
0.45,0.0169560909271,0.00149202346802
0.5,0.0195050239563,0.00175404548645
0.55,0.0218410491943,0.00140810012817
0.6,0.0234701633453,0.00129580497742
0.65,0.0244860649109,0.000823020935059
0.7,0.0280818939209,0.00111699104309
0.75,0.0308260917664,0.000686883926392
0.8,0.0329880714417,0.000809907913208
0.85,0.036150932312,0.00073504447937
0.9,0.0370519161224,0.000540018081665
0.95,0.0379240512848,0.000258922576904
