Training Data Percentage,Train Time,Test Time
0.1,0.179677009583,0.0276110172272
0.15,0.231249809265,0.0253050327301
0.2,0.263766050339,0.023980140686
0.25,0.328961133957,0.0233690738678
0.3,0.344853878021,0.0209259986877
0.35,0.384730100632,0.0196509361267
0.4,0.420736074448,0.0184819698334
0.45,0.451122999191,0.0169320106506
0.5,0.492660999298,0.015781879425
0.55,0.522387981415,0.0145590305328
0.6,0.558594942093,0.0147440433502
0.65,0.591868877411,0.0117211341858
0.7,0.633588075638,0.0105199813843
0.75,0.680341005325,0.0108461380005
0.8,0.687433958054,0.00811386108398
0.85,0.719987869263,0.00677108764648
0.9,0.784240007401,0.0055079460144
0.95,0.782244920731,0.00428915023804
