Training Data Percentage,Train Time,Test Time
0.1,0.0940079689026,0.00643396377563
0.15,0.0652348995209,0.00612211227417
0.2,0.0726161003113,0.00568795204163
0.25,0.0678460597992,0.00542306900024
0.3,0.0696120262146,0.00504183769226
0.35,0.0742349624634,0.00502705574036
0.4,0.0740511417389,0.00451493263245
0.45,0.0719649791718,0.0042519569397
0.5,0.0770812034607,0.00413084030151
0.55,0.0789139270782,0.00382995605469
0.6,0.0806548595428,0.0042040348053
0.65,0.0846440792084,0.00338387489319
0.7,0.088437795639,0.00311803817749
0.75,0.0860841274261,0.00286984443665
0.8,0.0917589664459,0.00415897369385
0.85,0.0937840938568,0.00250911712646
0.9,0.0912210941315,0.00373101234436
0.95,0.0995910167694,0.00188779830933
