Training Data Percentage,Train Time,Test Time
0.1,0.0109128952026,0.00293397903442
0.15,0.00957608222961,0.00255703926086
0.2,0.0116310119629,0.00256609916687
0.25,0.0390150547028,0.00416588783264
0.3,0.0298790931702,0.00353789329529
0.35,0.0511190891266,0.00340795516968
0.4,0.0896558761597,0.00508999824524
0.45,0.0614891052246,0.00301694869995
0.5,0.150074005127,0.00482392311096
0.55,0.256747961044,0.00736093521118
0.6,0.56120800972,0.0118098258972
0.65,0.360952854156,0.00533413887024
0.7,4.89667797089,0.0577080249786
0.75,5.63035607338,0.0548689365387
0.8,6.21688103676,0.0513889789581
0.85,6.05334091187,0.0331921577454
0.9,6.51536297798,0.0253109931946
0.95,6.22945404053,0.0173890590668
