Training Data Percentage,Train Time,Test Time
0.1,0.000709056854248,0.0553340911865
0.15,0.000789880752563,0.0465931892395
0.2,0.000746965408325,0.066666841507
0.25,0.000781059265137,0.0674819946289
0.3,0.0014979839325,0.0666959285736
0.35,0.0011990070343,0.0848321914673
0.4,0.000950813293457,0.080235004425
0.45,0.000995874404907,0.0697159767151
0.5,0.00103902816772,0.0639588832855
0.55,0.00109791755676,0.0614731311798
0.6,0.00125312805176,0.0504360198975
0.65,0.00164985656738,0.0449731349945
0.7,0.00136685371399,0.0504109859467
0.75,0.00136303901672,0.0446548461914
0.8,0.00142002105713,0.0395758152008
0.85,0.00150084495544,0.023989200592
0.9,0.00153994560242,0.0234391689301
0.95,0.00181293487549,0.00774312019348
