Training Data Percentage,Train Time,Test Time
0.1,0.00283908843994,1.34595394135
0.15,0.00280499458313,2.18648695946
0.2,0.00366497039795,2.19343113899
0.25,0.0040590763092,2.07176184654
0.3,0.00687503814697,3.26200604439
0.35,0.00794315338135,3.8141617775
0.4,0.00849008560181,3.57929801941
0.45,0.00949096679688,4.04511404037
0.5,0.0132629871368,3.24184703827
0.55,0.0135500431061,5.87167310715
0.6,0.0253279209137,4.13023805618
0.65,0.0187509059906,3.41918110847
0.7,0.0205180644989,3.48381900787
0.75,0.0257880687714,3.24402093887
0.8,0.0277910232544,2.60215187073
0.85,0.0262429714203,2.34932994843
0.9,0.0302050113678,1.07094597816
0.95,0.0287721157074,0.541931867599
