Training Data Percentage,Train Time,Test Time
0.1,0.000802993774414,0.0322518348694
0.15,0.000813007354736,0.0302510261536
0.2,0.00101685523987,0.0307281017303
0.25,0.00104784965515,0.0296351909637
0.3,0.00126194953918,0.0291781425476
0.35,0.00133800506592,0.0307378768921
0.4,0.0014910697937,0.0292420387268
0.45,0.0016188621521,0.0264520645142
0.5,0.00156712532043,0.0236558914185
0.55,0.00190091133118,0.0233111381531
0.6,0.00177216529846,0.0217189788818
0.65,0.00309109687805,0.0229988098145
0.7,0.00208711624146,0.0174698829651
0.75,0.0023729801178,0.0151398181915
0.8,0.00254487991333,0.0130550861359
0.85,0.00242400169373,0.00960803031921
0.9,0.00250601768494,0.00602793693542
0.95,0.00368404388428,0.00380802154541
