Training Data Percentage,Train Time,Test Time
0.1,0.0160689353943,6.81312012672
0.15,0.0158660411835,6.77603197098
0.2,0.0207960605621,11.5136358738
0.25,0.0265159606934,11.5887641907
0.3,0.0320041179657,10.826004982
0.35,0.0367279052734,16.7859640121
0.4,0.0505030155182,16.2996039391
0.45,0.0485501289368,15.5969378948
0.5,0.048700094223,14.8409340382
0.55,0.0541360378265,13.5272269249
0.6,0.0599069595337,12.0786049366
0.65,0.0690169334412,10.649998188
0.7,0.0987639427185,14.8412752151
0.75,0.106228113174,12.4769990444
0.8,0.093024969101,10.3081781864
0.85,0.11389708519,7.99511599541
0.9,0.106991052628,5.50119113922
0.95,0.11331486702,2.85622501373
