Training Data Percentage,Train Time,Test Time
0.1,0.12717795372,0.0953919887543
0.15,0.193301916122,0.0869560241699
0.2,0.351315975189,0.0822179317474
0.25,0.306277036667,0.0770859718323
0.3,0.3673620224,0.0706779956818
0.35,0.398108005524,0.0659511089325
0.4,0.450968027115,0.0527780056
0.45,0.43798494339,0.0504200458527
0.5,0.697453022003,0.0645930767059
0.55,0.811713933945,0.0311601161957
0.6,0.878446102142,0.028373003006
0.65,0.680882930756,0.0323288440704
0.7,1.19409203529,0.0319559574127
0.75,1.04108810425,0.026458978653
0.8,0.825191020966,0.0231950283051
0.85,0.889679908752,0.0168719291687
0.9,0.938707828522,0.0117290019989
0.95,0.870682001114,0.00726890563965
