Training Data Percentage,Train Time,Test Time
0.1,0.139672994614,0.0308139324188
0.15,0.27773809433,0.0307989120483
0.2,0.315143108368,0.0244269371033
0.25,0.159067869186,0.022402048111
0.3,0.193263053894,0.0220940113068
0.35,0.481664896011,0.0232751369476
0.4,0.381807088852,0.0227880477905
0.45,0.300636053085,0.0161578655243
0.5,0.485919952393,0.0135869979858
0.55,0.55771112442,0.0152490139008
0.6,0.553077936172,0.0144441127777
0.65,0.698367118835,0.00944185256958
0.7,0.348915100098,0.00891399383545
0.75,0.640390872955,0.0122909545898
0.8,0.878813028336,0.00756406784058
0.85,0.556015968323,0.00741410255432
0.9,0.431554079056,0.00423979759216
0.95,0.587756872177,0.00256896018982
