Training Data Percentage,Train Time,Test Time
0.1,0.15740609169,0.0641210079193
0.15,0.403872966766,0.0614109039307
0.2,0.461479902267,0.0714030265808
0.25,0.542141914368,0.0548419952393
0.3,0.901010990143,0.0518269538879
0.35,0.499014854431,0.0496690273285
0.4,0.706035137177,0.0441529750824
0.45,0.895070075989,0.0415699481964
0.5,1.15122699738,0.0358848571777
0.55,1.75470519066,0.0340759754181
0.6,1.1174800396,0.0280590057373
0.65,1.61184978485,0.0340940952301
0.7,1.52321791649,0.0225539207458
0.75,1.40496706963,0.0193388462067
0.8,1.30680394173,0.0148470401764
0.85,1.56304311752,0.0121238231659
0.9,2.28761386871,0.00666213035583
0.95,2.35231208801,0.00325798988342
