Training Data Percentage,Train Time,Test Time
0.1,0.211062908173,0.0634210109711
0.15,0.183781862259,0.0594789981842
0.2,0.187385082245,0.0545930862427
0.25,0.230195045471,0.0527548789978
0.3,0.494893074036,0.0476629734039
0.35,0.727820158005,0.04518699646
0.4,0.998195886612,0.0418951511383
0.45,0.696535825729,0.0384771823883
0.5,0.695713996887,0.040009021759
0.55,0.991838932037,0.0312170982361
0.6,0.933064937592,0.0291218757629
0.65,1.02900004387,0.0244438648224
0.7,0.747141838074,0.0210289955139
0.75,1.8003218174,0.0179340839386
0.8,1.48461413383,0.0141398906708
0.85,1.29169797897,0.00984907150269
0.9,1.63278794289,0.0059609413147
0.95,2.54569602013,0.0040078163147
